STATION,NAME,DATE,AWND,FMTM,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/13/2005,2.01,2343,,2342,0,,0,23,-7,13,-27,,260,250,0,10.1,13,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/14/2005,4.03,1942,,1940,0,,0,23,12,32,-9,,40,50,0,10.1,13,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/15/2005,2.46,300,,259,0,,0,23,15,24,5,,200,190,0,10.1,12.1,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/16/2005,0.67,2143,,2143,0,,0.1,23,7,17,-4,,50,50,0,6,6,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/17/2005,1.12,1813,,1813,0,,0,23,7,19,-6,,20,20,0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/18/2005,0.45,318,,1617,0,,0,23,4,17,-9,,40,110,0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/19/2005,1.34,2350,,130,0.08,,0.8,23,15,23,7,,60,240,0,6,8.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/20/2005,0.22,925,,925,0,,0,23,8,20,-5,,30,30,0,6,6,1,1,,,,,,,,,,1,,,,,,,1,1,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/21/2005,0.89,2036,,2035,0,,0,23,8,22,-7,,20,20,0,8.1,8.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/22/2005,0.89,2239,,2237,0,,0,23,13,24,1,,20,20,0,8.1,8.9,1,1,,,,,,,,,,1,,,,,,,,1,1,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/23/2005,2.01,502,,502,0,,0,23,11,24,-2,,210,200,0,10.1,13,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/24/2005,1.34,323,,1119,0,,0,23,9,26,-9,,180,190,0,6,6,1,,,,,,,,,,,,,,,,,,1,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/25/2005,2.68,514,,823,0,,0,23,8,21,-5,,50,60,0,10.1,10.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/26/2005,1.79,1836,,1901,0,,0,23,2,14,-11,,200,230,0,6.9,8.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/27/2005,0.45,1056,,1040,0.06,,1.2,23,0,14,-1,,100,70,0,4.9,6,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/28/2005,0.67,1218,,1218,0.05,,0.8,24,6,12,-1,,140,140,0,6.9,6.9,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/1/2005,3.8,2110,,2103,0.06,,1.2,25,12,18,6,,360,10,0,14.1,16.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/2/2005,6.93,1624,,1604,0,,0,25,6,15,-3,,20,10,0,12.1,14.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/3/2005,8.05,1837,,1837,0,,0,25,13,17,8,,10,10,0,16.1,17.9,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/4/2005,5.82,1610,,1610,0,,0,25,3,15,-9,,200,200,0,16.1,16.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/5/2005,0.67,717,,2318,0,,0,25,2,15,-11,,200,40,0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/6/2005,4.03,2343,,2352,0,,0,24,18,43,-7,,50,50,0,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/7/2005,2.01,2316,,2317,0,,0,24,26,42,9,,30,30,0,10.1,10.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/8/2005,10.07,1930,,1929,0,,0,23,20,33,6,,360,360,0,17.9,21.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/9/2005,6.26,1730,,1729,0,,0,23,21,35,7,,360,360,0,15,17.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/10/2005,8.5,1435,,1435,0,,0,23,29,43,14,,80,80,0,16.1,17.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/11/2005,3.58,1940,,1939,0,,0,23,31,43,19,,240,250,0,14.1,21,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/12/2005,2.24,708,,707,0,,0,23,26,36,16,,200,190,0,12.1,15,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/13/2005,2.68,1710,,1949,0.02,,0.4,23,27,38,16,,280,190,0,12.1,13,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/14/2005,3.8,1546,,1358,0,,0,23,25,35,14,,40,250,0,8.9,12.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/15/2005,7.16,1201,,1011,0,,0,22,23,40,5,,60,70,0,14.1,17,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/16/2005,4.25,1803,,1830,0.05,,0.8,22,20,33,6,,260,250,0,19.9,25.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/17/2005,5.59,44,,43,0,,0,23,24,34,13,,250,250,0,15,17.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/18/2005,4.7,1200,,1159,0,,0,23,21,40,2,,80,90,0,12.1,14.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/19/2005,5.14,2146,,2157,0,,0,23,24,33,15,,20,30,0,19.9,21.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/20/2005,19.91,1617,,1430,0,,0,23,12,17,7,,50,60,0,32,36.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/21/2005,22.37,1507,,1506,0,,0,23,11,17,5,,50,50,0,32,38,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/22/2005,14.09,49,,48,0,,0,23,21,31,11,,60,60,0,25.1,32,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/23/2005,3.36,1650,,1650,0,,0,23,23,38,8,,200,200,0,10.1,13,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/24/2005,2.24,2038,,2306,0,,0,23,21,39,2,,40,40,0,8.1,8.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/25/2005,4.03,2227,,2241,0,,0,22,30,43,16,,10,10,0,10.1,12.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/26/2005,4.03,210,,1621,0,,0,22,25,34,15,,50,210,0,10.1,14.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/27/2005,3.58,1436,,1336,0.04,,0.7,22,23,26,19,,190,210,0,8.1,10.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/28/2005,4.7,2202,,2201,0,,0,23,24,31,16,,210,220,0,8.1,10.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/29/2005,4.47,1517,,1642,0.09,,2.1,24,13,22,3,,250,260,0,12.1,13,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/30/2005,4.7,2111,,2205,0,,0,25,13,32,-7,,360,10,0,14.1,16.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",3/31/2005,12.08,1759,,1651,0,,0,24,27,33,21,,20,20,0,21,23.9,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/1/2005,2.46,244,,243,0.01,,0.2,24,17,26,8,,360,360,0,8.9,12.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/2/2005,2.24,1948,,1951,0.01,,0.2,23,15,27,3,,270,280,0,12.1,13,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/3/2005,2.46,1810,,1808,0.02,,0.6,24,19,24,13,,200,190,0,8.1,10.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/4/2005,1.79,2000,,2000,0,,0,24,17,28,5,,230,240,0,6,6.9,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/5/2005,0.89,250,,257,0,,0,24,19,37,0,,50,50,0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/6/2005,1.79,1719,,1719,0,,0,24,33,52,13,,180,180,0,12.1,14.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/7/2005,1.79,2059,,418,0,,0,23,30,47,12,,200,200,0,8.1,8.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/8/2005,1.34,148,,531,0,,0,21,31,48,13,,40,40,0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/9/2005,2.68,2349,,2349,0,,0,20,33,49,16,,360,360,0,13,15,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/10/2005,6.71,2152,,1820,0,,0,19,35,48,21,,10,30,0,15,17.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/11/2005,6.49,1856,,1856,0,,0,17,28,39,16,,340,350,0,13,15,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/12/2005,6.93,1851,,1823,0,,0,16,27,38,16,,330,330,0,15,17,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/13/2005,7.61,1633,,1632,0,,0,15,29,39,19,,30,30,0,17.9,21,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/14/2005,5.14,2258,,2257,0,,0,14,29,40,18,,10,10,0,10.1,12.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/15/2005,5.59,2241,,2249,0,,0,11,29,39,19,,340,340,0,12.1,13,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/16/2005,3.58,2259,,2238,0,,0,10,29,40,17,,280,290,0,12.1,14.1,,,,,,,,,,,,,,,1,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/17/2005,9.4,1732,,1711,0.02,,0.5,10,23,32,14,,280,290,0,17.9,23,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/18/2005,4.7,1830,,2020,0.1,,3,10,14,18,10,,260,260,0,14.1,16.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/19/2005,3.58,2226,,2211,0,,0,12,15,26,4,,360,360,0,6.9,8.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/20/2005,4.92,1624,,1625,0,,0,12,30,43,17,,240,240,0,15,17.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/21/2005,2.68,2011,,2334,0,,0,9,35,49,20,,80,50,0,8.1,8.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/22/2005,4.7,1334,,1234,0,,0,7,43,54,32,,210,220,0,16.1,23,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/23/2005,2.91,305,,2116,0,,0,5,43,57,29,,60,310,0,14.1,16.1,,,,,,,,,,,,,,,1,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/24/2005,7.38,339,,335,0.02,,0,3,41,47,34,,250,250,0,15,19.9,,,,,,,,,,,,,,,1,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/25/2005,6.71,1017,,1214,0,,0,0,48,63,32,,60,90,0,14.1,16.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/26/2005,4.92,326,,325,0,,0,0,50,64,36,,360,10,0,13,14.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/27/2005,4.03,1943,,1942,0,,0,0,50,70,30,,30,30,0,16.1,17,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/28/2005,11.63,1341,,1340,0,,0,0,51,66,35,,30,30,0,28,32,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/29/2005,8.72,846,,845,0,,0,0,55,71,38,,70,80,0,17.9,21.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",4/30/2005,8.28,1839,,1809,0,,0,0,55,73,37,,70,70,0,17.9,23.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/1/2005,9.4,1028,,1003,0,,0,0,53,66,39,,100,110,0,17.9,23.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/2/2005,3.8,1440,,1440,0,,0,0,47,61,32,,240,240,0,14.1,17,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/3/2005,4.92,1406,,1410,0.06,,0,0,49,58,39,,260,240,0,16.1,19,,,,,,,,,,,,,,,1,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/4/2005,3.8,1536,,1534,0,,0,0,49,59,39,,300,290,0,16.1,19.9,,,,,,,,,,,,,,,1,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/5/2005,5.59,1551,,1654,0,,0,0,47,61,32,,200,260,0,15,17.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/6/2005,1.12,1245,,1244,0,,0,0,50,65,34,,220,220,0,8.9,13,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/7/2005,3.36,2335,,2334,0,,0,0,54,70,37,,350,350,0,12.1,14.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/8/2005,4.7,1752,,1542,0,,0,0,58,72,44,,340,230,0,12.1,19.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/9/2005,8.05,1816,,1815,0,,0,0,59,72,46,,30,30,0,21,23,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",5/10/2005,6.49,1916,,1912,0,,0,0,61,76,46,,350,340,0,13,15,,,,,,,,,,,,,,,,,,,,,,
